source_label,loc,returns,ifs,loops,comments
human,7,2,2,2,0
ai,26,3,2,2,0
human,14,1,3,1,0
ai,28,11,0,0,8
human,1,1,0,0,0
ai,30,9,0,1,0
human,6,2,1,1,0
ai,34,10,4,2,0
human,2,1,0,1,0
ai,30,3,0,3,0
human,8,2,1,1,0
ai,50,2,2,0,0
human,11,2,2,2,0
ai,22,3,0,8,0
human,1,1,1,1,0
ai,27,4,4,7,0
human,6,1,0,1,0
ai,37,4,3,0,2
human,9,1,1,1,0
ai,25,0,0,0,0
human,6,2,1,1,0
ai,24,4,3,0,0
human,6,3,1,1,0
ai,23,7,0,0,0
human,6,2,2,2,0
ai,26,9,10,1,0
human,3,1,0,1,0
ai,50,0,5,0,0
human,4,1,0,1,0
ai,25,5,0,5,0
human,1,1,0,1,0
ai,27,1,0,4,0
human,1,1,0,0,0
ai,35,5,0,0,0
human,2,1,1,1,0
ai,5,0,0,1,3
human,5,1,1,1,0
ai,40,9,6,0,0
human,13,1,1,1,0
ai,38,2,3,0,0
human,14,1,3,2,0
ai,37,4,4,4,1
human,3,1,0,1,0
ai,17,0,0,0,0
human,1,1,1,1,0
ai,30,3,3,7,0
human,1,1,0,0,0
ai,50,0,0,0,0
human,3,1,1,1,0
ai,43,5,8,5,0
human,12,1,2,1,0
ai,34,2,2,2,0
human,3,1,1,1,0
ai,12,0,0,0,0
human,1,1,0,0,0
ai,44,4,4,2,0
human,1,1,0,0,0
ai,27,0,0,0,0
human,1,1,1,1,0
ai,27,4,4,7,0
human,1,1,1,1,0
ai,26,4,4,4,0
human,6,3,2,1,0
ai,63,8,9,2,0
human,11,1,1,2,0
ai,26,4,2,1,0
human,3,1,0,0,0
ai,29,4,2,4,0
human,1,1,0,0,0
ai,27,4,0,1,1
human,5,1,1,1,0
ai,29,0,0,0,0
human,9,1,1,2,0
ai,38,0,0,0,0
human,9,1,1,1,0
ai,35,4,4,6,0
human,1,1,0,0,0
ai,23,4,3,6,6
human,15,4,4,2,0
ai,38,8,4,0,0
human,6,2,1,3,0
ai,38,2,0,0,3
human,1,1,0,0,0
ai,26,3,2,0,0
human,1,1,0,1,0
ai,23,3,0,3,0
human,5,2,1,2,0
ai,40,5,3,3,1
human,5,1,0,1,0
ai,27,4,3,1,0
human,1,1,0,0,0
ai,23,3,2,2,2
human,7,2,1,1,0
ai,39,10,10,0,0
human,5,2,1,0,0
ai,33,0,0,0,1
human,4,2,1,1,0
ai,65,5,5,0,0
human,4,1,0,1,0
ai,43,0,0,0,0
human,1,1,0,1,0
ai,28,9,0,6,0
human,1,1,1,1,0
ai,35,3,4,2,0
human,4,2,1,1,0
ai,37,5,3,3,0
human,1,1,0,0,0
ai,21,1,1,1,2
human,1,1,0,0,0
ai,36,3,2,0,0
human,5,3,2,0,0
ai,64,11,8,2,0
human,9,2,2,1,0
ai,16,2,3,1,0
human,3,2,1,0,0
ai,30,6,2,2,0
human,6,1,1,2,0
ai,21,3,0,3,0
human,12,4,3,2,0
ai,50,8,8,3,0
human,1,1,0,0,0
ai,41,3,0,0,0
human,9,2,2,1,0
ai,47,6,6,1,0
human,1,1,0,1,0
ai,27,2,0,2,0
human,7,4,3,0,0
ai,37,9,7,0,0
human,5,1,1,1,0
ai,22,0,0,0,0
human,5,2,1,0,0
ai,36,12,3,0,1
human,2,2,2,1,0
ai,49,6,3,3,0
human,5,1,1,1,0
ai,31,3,3,2,0
human,4,3,0,0,0
ai,35,7,4,2,0
human,8,1,1,2,0
ai,30,2,0,0,0
human,6,1,1,1,0
ai,36,8,3,0,0
human,6,2,1,0,0
ai,31,4,4,0,0
human,9,3,2,1,0
ai,26,5,5,0,5
human,5,1,1,1,0
ai,28,8,2,2,0
human,10,2,1,2,0
ai,22,5,2,0,8
human,13,4,5,4,0
ai,35,7,6,5,4
human,6,2,1,1,0
ai,70,34,35,0,0
human,2,1,0,0,0
ai,49,9,5,1,0
human,6,1,1,1,0
ai,34,1,1,1,0
human,1,1,0,0,0
ai,28,9,0,2,0
human,6,3,2,1,0
ai,36,6,8,2,0
human,29,1,12,1,0
ai,40,1,12,4,0
human,7,3,2,1,0
ai,40,9,6,1,0
human,2,2,1,0,0
ai,26,9,5,6,0
human,1,1,0,1,0
ai,33,6,0,0,0
human,1,1,1,1,0
ai,38,7,0,0,0
human,1,1,0,1,0
ai,24,1,0,2,0
human,2,1,1,2,0
ai,27,3,2,4,0
human,1,1,1,0,0
ai,26,2,4,0,0
human,8,1,1,1,0
ai,25,0,0,0,0
human,2,1,1,0,0
ai,44,12,11,0,0
human,3,1,0,1,0
ai,40,4,0,0,0
human,5,3,2,0,0
ai,32,0,3,0,0
human,4,1,1,2,0
ai,55,3,3,0,5
human,13,3,1,3,0
ai,21,0,21,21,0
human,21,2,6,1,0
ai,20,3,2,1,2
human,10,1,2,2,0
ai,43,9,6,6,0
human,1,1,0,0,0
ai,37,18,0,0,4
human,5,1,1,1,0
ai,45,13,4,4,0
human,16,1,4,1,1
ai,59,11,7,1,0
human,1,1,0,1,0
ai,29,3,6,0,0
human,10,2,2,1,0
ai,31,7,0,0,0
human,7,4,3,0,0
ai,40,6,6,0,0
human,6,2,1,1,0
ai,31,8,3,0,0
human,5,1,1,2,0
ai,13,1,0,0,4
human,19,1,0,1,0
ai,8,0,0,0,4
human,11,1,1,3,0
ai,25,6,5,3,0
human,10,2,2,1,0
ai,34,7,3,1,0
human,7,2,1,2,0
ai,44,5,6,3,0
human,11,3,2,1,0
ai,34,9,4,4,0
human,11,2,3,2,0
ai,8,0,0,0,1
human,11,1,1,2,0
ai,38,6,1,3,3
human,2,1,1,1,0
ai,41,4,1,3,6
human,5,1,0,2,0
ai,24,4,1,3,0
human,11,1,2,2,0
ai,43,6,4,3,0
human,1,1,0,1,0
ai,52,16,24,12,8
human,1,1,0,0,0
ai,21,2,0,0,0
human,9,1,2,2,0
ai,29,6,0,0,2
human,8,3,3,1,0
ai,32,2,4,2,0
human,13,3,4,1,0
ai,41,12,17,1,0
human,5,2,1,0,0
ai,34,3,1,1,9
human,1,1,1,1,0
ai,26,7,3,3,0
human,1,1,1,1,0
ai,29,6,2,0,0
human,12,1,3,1,0
ai,14,0,0,0,2
human,15,6,4,0,0
ai,25,2,4,4,8
human,6,3,3,1,0
ai,29,14,13,0,0
human,9,3,2,4,0
ai,28,6,0,0,0
human,15,6,4,1,0
ai,32,11,3,1,0
human,3,2,2,1,0
ai,50,11,6,5,0
human,22,1,6,3,0
ai,35,3,5,5,2
human,9,2,2,1,0
ai,32,5,5,1,0
human,11,2,2,1,0
ai,31,4,1,2,0
human,16,1,2,2,0
ai,40,7,9,1,0
human,5,1,0,1,0
ai,27,14,0,14,0
human,2,1,1,0,0
ai,37,8,5,0,0
human,7,1,1,1,0
ai,40,6,6,3,0
human,3,1,2,0,0
ai,37,14,15,1,5
human,5,2,4,0,0
ai,40,13,18,0,0
human,1,1,0,0,0
ai,26,2,2,8,0
human,6,1,0,1,0
ai,44,2,5,0,0
human,20,1,5,1,0
ai,43,13,2,0,31
human,14,6,6,1,0
ai,32,9,12,0,0
human,9,1,2,1,0
ai,17,1,2,2,0
human,11,1,3,2,0
ai,10,1,1,1,0
human,7,2,1,0,0
ai,31,5,3,0,0
human,7,2,1,1,0
ai,41,7,7,3,0
human,8,1,2,1,0
ai,16,1,1,1,0
human,8,1,1,4,0
ai,32,3,0,0,0
human,9,3,2,0,0
ai,25,5,3,0,0
human,6,1,1,1,0
ai,30,8,0,0,0
human,8,3,2,1,0
ai,54,16,13,12,0
human,1,1,1,1,0
ai,33,2,1,1,0
human,1,1,0,1,0
ai,22,2,3,2,0
human,9,1,5,5,0
ai,26,1,2,2,1
human,7,2,1,2,0
ai,26,3,3,0,0
human,8,1,1,1,0
ai,43,16,7,2,0
human,14,1,0,2,0
ai,35,3,0,0,1
human,1,1,0,0,0
ai,14,7,0,0,0
human,1,1,0,0,0
ai,40,4,3,3,0
human,4,2,0,0,0
ai,23,0,0,0,0
human,4,1,0,1,0
ai,14,7,7,0,0
human,14,2,2,2,0
ai,33,6,6,0,0
human,2,1,1,0,0
ai,35,14,4,0,0
human,3,1,1,1,0
ai,36,4,0,0,5
