returns,ifs,loops,parse_ok,loc,comments,source,task_id
2,2,2,True,7,0,human,HumanEval/0
0,0,0,False,26,0,ai,HumanEval/0
1,3,1,True,14,0,human,HumanEval/1
0,0,0,False,20,8,ai,HumanEval/1
1,0,0,True,1,0,human,HumanEval/2
0,0,0,False,30,0,ai,HumanEval/2
2,1,1,True,6,0,human,HumanEval/3
0,0,0,False,34,0,ai,HumanEval/3
1,0,0,True,2,0,human,HumanEval/4
0,0,0,False,30,0,ai,HumanEval/4
2,1,1,True,8,0,human,HumanEval/5
0,0,0,False,50,0,ai,HumanEval/5
2,1,1,True,11,0,human,HumanEval/6
0,0,0,False,22,0,ai,HumanEval/6
1,0,0,True,1,0,human,HumanEval/7
0,0,0,False,27,0,ai,HumanEval/7
1,0,1,True,6,0,human,HumanEval/8
0,0,0,False,35,2,ai,HumanEval/8
1,1,1,True,9,0,human,HumanEval/9
0,0,0,False,25,0,ai,HumanEval/9
3,1,1,True,6,0,human,HumanEval/10
0,0,0,False,24,0,ai,HumanEval/10
3,1,0,True,6,0,human,HumanEval/11
0,0,0,False,23,0,ai,HumanEval/11
2,2,1,True,6,0,human,HumanEval/12
0,0,0,False,26,0,ai,HumanEval/12
1,0,1,True,3,0,human,HumanEval/13
0,0,0,False,50,0,ai,HumanEval/13
1,0,1,True,4,0,human,HumanEval/14
0,0,0,False,25,0,ai,HumanEval/14
1,0,0,True,1,0,human,HumanEval/15
0,0,0,False,27,0,ai,HumanEval/15
1,0,0,True,1,0,human,HumanEval/16
0,0,0,False,35,0,ai,HumanEval/16
1,0,0,True,2,0,human,HumanEval/17
0,0,0,False,2,3,ai,HumanEval/17
1,1,1,True,5,0,human,HumanEval/18
0,0,0,False,40,0,ai,HumanEval/18
1,0,0,True,13,0,human,HumanEval/19
0,0,0,False,38,0,ai,HumanEval/19
1,3,2,True,14,0,human,HumanEval/20
0,0,0,False,36,1,ai,HumanEval/20
1,0,0,True,3,0,human,HumanEval/21
0,0,0,False,17,0,ai,HumanEval/21
1,0,0,True,1,0,human,HumanEval/22
0,0,0,False,30,0,ai,HumanEval/22
1,0,0,True,1,0,human,HumanEval/23
0,0,0,False,50,0,ai,HumanEval/23
1,1,1,True,3,0,human,HumanEval/24
0,0,0,False,43,0,ai,HumanEval/24
1,2,1,True,12,0,human,HumanEval/25
0,0,0,False,34,0,ai,HumanEval/25
1,0,0,True,3,0,human,HumanEval/26
0,0,0,False,12,0,ai,HumanEval/26
1,0,0,True,1,0,human,HumanEval/27
0,0,0,False,44,0,ai,HumanEval/27
1,0,0,True,1,0,human,HumanEval/28
0,0,0,False,27,0,ai,HumanEval/28
1,0,0,True,1,0,human,HumanEval/29
0,0,0,False,27,0,ai,HumanEval/29
1,0,0,True,1,0,human,HumanEval/30
0,0,0,False,26,0,ai,HumanEval/30
3,2,1,True,6,0,human,HumanEval/31
0,0,0,False,63,0,ai,HumanEval/31
2,1,2,True,11,0,human,HumanEval/32
0,0,0,False,26,0,ai,HumanEval/32
1,0,0,True,3,0,human,HumanEval/33
0,0,0,False,29,0,ai,HumanEval/33
1,0,0,True,1,0,human,HumanEval/34
0,0,0,False,26,1,ai,HumanEval/34
1,1,1,True,5,0,human,HumanEval/35
0,0,0,False,29,0,ai,HumanEval/35
1,1,2,True,9,0,human,HumanEval/36
0,0,0,False,38,0,ai,HumanEval/36
1,1,1,True,9,0,human,HumanEval/37
0,0,0,False,35,0,ai,HumanEval/37
2,0,0,True,1,0,human,HumanEval/38
4,0,0,True,17,6,ai,HumanEval/38
4,4,2,True,15,0,human,HumanEval/39
0,0,0,False,38,0,ai,HumanEval/39
2,1,3,True,6,0,human,HumanEval/40
0,0,0,False,35,3,ai,HumanEval/40
1,0,0,True,1,0,human,HumanEval/41
0,0,0,False,26,0,ai,HumanEval/41
1,0,0,True,1,0,human,HumanEval/42
0,0,0,False,23,0,ai,HumanEval/42
2,1,2,True,5,0,human,HumanEval/43
0,0,0,False,39,1,ai,HumanEval/43
1,0,1,True,5,0,human,HumanEval/44
4,3,0,True,27,0,ai,HumanEval/44
1,0,0,True,1,0,human,HumanEval/45
0,0,0,False,21,2,ai,HumanEval/45
2,1,1,True,7,0,human,HumanEval/46
0,0,0,False,39,0,ai,HumanEval/46
2,1,0,True,5,0,human,HumanEval/47
0,0,0,True,32,1,ai,HumanEval/47
2,1,1,True,4,0,human,HumanEval/48
5,0,0,True,65,0,ai,HumanEval/48
1,0,1,True,4,0,human,HumanEval/49
0,0,0,False,43,0,ai,HumanEval/49
2,0,0,True,1,0,human,HumanEval/50
0,0,0,False,28,0,ai,HumanEval/50
1,0,0,True,1,0,human,HumanEval/51
0,0,0,False,35,0,ai,HumanEval/51
2,1,1,True,4,0,human,HumanEval/52
0,0,0,False,37,0,ai,HumanEval/52
1,0,0,True,1,0,human,HumanEval/53
0,0,0,False,19,2,ai,HumanEval/53
1,0,0,True,1,0,human,HumanEval/54
0,0,0,False,36,0,ai,HumanEval/54
3,2,0,True,5,0,human,HumanEval/55
0,0,0,False,64,0,ai,HumanEval/55
2,2,1,True,9,0,human,HumanEval/56
0,0,0,False,16,0,ai,HumanEval/56
2,1,0,True,3,0,human,HumanEval/57
0,0,0,False,30,0,ai,HumanEval/57
1,1,2,True,6,0,human,HumanEval/58
0,0,0,False,21,0,ai,HumanEval/58
4,3,2,True,12,0,human,HumanEval/59
0,0,0,False,50,0,ai,HumanEval/59
1,0,0,True,1,0,human,HumanEval/60
0,0,0,False,41,0,ai,HumanEval/60
2,2,1,True,9,0,human,HumanEval/61
0,0,0,False,47,0,ai,HumanEval/61
1,0,0,True,1,0,human,HumanEval/62
0,0,0,False,27,0,ai,HumanEval/62
4,3,0,True,7,0,human,HumanEval/63
0,0,0,False,37,0,ai,HumanEval/63
1,1,0,True,5,0,human,HumanEval/64
0,0,0,False,22,0,ai,HumanEval/64
2,1,0,True,5,0,human,HumanEval/65
0,0,0,False,35,1,ai,HumanEval/65
2,1,0,True,2,0,human,HumanEval/66
0,0,0,False,49,0,ai,HumanEval/66
1,1,1,True,5,0,human,HumanEval/67
0,0,0,False,31,0,ai,HumanEval/67
3,2,0,True,4,0,human,HumanEval/68
0,0,0,False,35,0,ai,HumanEval/68
1,1,2,True,8,0,human,HumanEval/69
0,0,0,False,30,0,ai,HumanEval/69
1,0,1,True,6,0,human,HumanEval/70
0,0,0,False,36,0,ai,HumanEval/70
2,1,0,True,6,0,human,HumanEval/71
0,0,0,False,31,0,ai,HumanEval/71
3,2,1,True,9,0,human,HumanEval/72
0,0,0,False,21,5,ai,HumanEval/72
1,1,1,True,5,0,human,HumanEval/73
0,0,0,False,28,0,ai,HumanEval/73
2,1,2,True,10,0,human,HumanEval/74
0,0,0,False,14,8,ai,HumanEval/74
4,5,4,True,13,0,human,HumanEval/75
3,6,5,True,31,4,ai,HumanEval/75
2,1,1,True,6,0,human,HumanEval/76
0,0,0,False,70,0,ai,HumanEval/76
1,0,0,True,2,0,human,HumanEval/77
0,0,0,False,49,0,ai,HumanEval/77
1,1,1,True,6,0,human,HumanEval/78
0,0,0,False,34,0,ai,HumanEval/78
1,0,0,True,1,0,human,HumanEval/79
0,0,0,False,28,0,ai,HumanEval/79
3,2,1,True,6,0,human,HumanEval/80
0,0,0,False,36,0,ai,HumanEval/80
1,12,1,True,29,0,human,HumanEval/81
0,0,0,False,40,0,ai,HumanEval/81
3,2,1,True,7,0,human,HumanEval/82
0,0,0,False,40,0,ai,HumanEval/82
2,1,0,True,2,0,human,HumanEval/83
0,0,0,False,26,0,ai,HumanEval/83
1,0,0,True,1,0,human,HumanEval/84
0,0,0,False,33,0,ai,HumanEval/84
1,0,0,True,1,0,human,HumanEval/85
7,0,0,True,38,0,ai,HumanEval/85
1,0,0,True,1,0,human,HumanEval/86
1,0,2,True,24,0,ai,HumanEval/86
1,0,0,True,2,0,human,HumanEval/87
0,0,0,False,27,0,ai,HumanEval/87
1,0,0,True,1,0,human,HumanEval/88
0,0,0,False,26,0,ai,HumanEval/88
1,1,1,True,8,0,human,HumanEval/89
0,0,0,False,25,0,ai,HumanEval/89
1,0,0,True,2,0,human,HumanEval/90
0,0,0,False,44,0,ai,HumanEval/90
1,0,0,True,3,0,human,HumanEval/91
0,0,0,False,40,0,ai,HumanEval/91
3,2,0,True,5,0,human,HumanEval/92
0,0,0,False,32,0,ai,HumanEval/92
1,0,0,True,4,0,human,HumanEval/93
0,0,0,False,50,5,ai,HumanEval/93
3,2,2,True,13,0,human,HumanEval/94
0,0,0,False,21,0,ai,HumanEval/94
2,6,1,True,21,0,human,HumanEval/95
0,0,0,False,18,2,ai,HumanEval/95
1,2,2,True,10,0,human,HumanEval/96
0,0,0,False,43,0,ai,HumanEval/96
1,0,0,True,1,0,human,HumanEval/97
3,0,0,True,33,4,ai,HumanEval/97
1,1,1,True,5,0,human,HumanEval/98
0,0,0,False,45,0,ai,HumanEval/98
1,4,1,True,15,1,human,HumanEval/99
0,0,0,False,59,0,ai,HumanEval/99
1,0,0,True,1,0,human,HumanEval/100
0,0,0,False,29,0,ai,HumanEval/100
2,2,1,True,10,0,human,HumanEval/101
0,0,0,False,31,0,ai,HumanEval/101
4,3,0,True,7,0,human,HumanEval/102
0,0,0,False,40,0,ai,HumanEval/102
2,1,1,True,6,0,human,HumanEval/103
6,3,0,True,31,0,ai,HumanEval/103
1,1,1,True,5,0,human,HumanEval/104
0,0,0,False,9,4,ai,HumanEval/104
1,0,1,True,19,0,human,HumanEval/105
0,0,0,False,4,4,ai,HumanEval/105
1,1,3,True,11,0,human,HumanEval/106
0,0,0,False,25,0,ai,HumanEval/106
2,2,1,True,10,0,human,HumanEval/107
0,0,0,False,34,0,ai,HumanEval/107
2,1,0,True,7,0,human,HumanEval/108
0,0,0,False,44,0,ai,HumanEval/108
3,2,1,True,11,0,human,HumanEval/109
0,0,0,False,34,0,ai,HumanEval/109
2,3,2,True,11,0,human,HumanEval/110
0,0,0,False,7,1,ai,HumanEval/110
1,3,2,True,11,0,human,HumanEval/111
0,0,0,False,35,3,ai,HumanEval/111
1,0,0,True,2,0,human,HumanEval/112
0,0,0,False,35,6,ai,HumanEval/112
1,0,1,True,5,0,human,HumanEval/113
0,0,0,False,24,0,ai,HumanEval/113
1,2,1,True,11,0,human,HumanEval/114
0,0,0,False,43,0,ai,HumanEval/114
1,0,0,True,1,0,human,HumanEval/115
16,16,12,True,44,8,ai,HumanEval/115
1,0,0,True,1,0,human,HumanEval/116
0,0,0,False,21,0,ai,HumanEval/116
1,2,2,True,9,0,human,HumanEval/117
0,0,0,False,27,2,ai,HumanEval/117
3,3,1,True,8,0,human,HumanEval/118
0,0,0,False,32,0,ai,HumanEval/118
3,2,1,True,13,0,human,HumanEval/119
0,0,0,False,41,0,ai,HumanEval/119
2,1,0,True,5,0,human,HumanEval/120
0,0,0,False,25,9,ai,HumanEval/120
1,0,0,True,1,0,human,HumanEval/121
0,0,0,False,26,0,ai,HumanEval/121
1,0,0,True,1,0,human,HumanEval/122
0,0,0,False,29,0,ai,HumanEval/122
1,3,1,True,12,0,human,HumanEval/123
0,0,0,False,12,2,ai,HumanEval/123
6,4,0,True,15,0,human,HumanEval/124
0,0,0,False,17,8,ai,HumanEval/124
3,2,0,True,6,0,human,HumanEval/125
0,0,0,False,29,0,ai,HumanEval/125
3,2,1,True,9,0,human,HumanEval/126
0,0,0,False,28,0,ai,HumanEval/126
6,4,1,True,15,0,human,HumanEval/127
0,0,0,False,32,0,ai,HumanEval/127
2,1,0,True,3,0,human,HumanEval/128
0,0,0,False,50,0,ai,HumanEval/128
1,6,3,True,22,0,human,HumanEval/129
0,0,0,False,33,2,ai,HumanEval/129
2,2,1,True,9,0,human,HumanEval/130
0,0,0,False,32,0,ai,HumanEval/130
2,2,1,True,11,0,human,HumanEval/131
0,0,0,False,31,0,ai,HumanEval/131
1,2,2,True,16,0,human,HumanEval/132
0,0,0,False,40,0,ai,HumanEval/132
1,0,1,True,5,0,human,HumanEval/133
14,0,0,True,27,0,ai,HumanEval/133
1,0,0,True,2,0,human,HumanEval/134
0,0,0,False,37,0,ai,HumanEval/134
1,1,1,True,7,0,human,HumanEval/135
0,0,0,False,40,0,ai,HumanEval/135
1,0,0,True,3,0,human,HumanEval/136
0,0,0,False,32,5,ai,HumanEval/136
2,3,0,True,5,0,human,HumanEval/137
0,0,0,False,40,0,ai,HumanEval/137
1,0,0,True,1,0,human,HumanEval/138
0,0,0,False,26,0,ai,HumanEval/138
1,0,1,True,6,0,human,HumanEval/139
0,0,0,False,44,0,ai,HumanEval/139
1,5,1,True,20,0,human,HumanEval/140
0,0,0,False,12,31,ai,HumanEval/140
6,5,0,True,14,0,human,HumanEval/141
0,0,0,False,32,0,ai,HumanEval/141
1,2,1,True,9,0,human,HumanEval/142
0,0,0,False,17,0,ai,HumanEval/142
1,3,2,True,11,0,human,HumanEval/143
0,0,0,False,10,0,ai,HumanEval/143
2,1,0,True,7,0,human,HumanEval/144
0,0,0,False,31,0,ai,HumanEval/144
2,1,0,True,7,0,human,HumanEval/145
0,0,0,False,41,0,ai,HumanEval/145
1,2,1,True,8,0,human,HumanEval/146
0,0,0,False,16,0,ai,HumanEval/146
1,1,3,True,8,0,human,HumanEval/147
0,0,0,False,32,0,ai,HumanEval/147
3,2,0,True,9,0,human,HumanEval/148
0,0,0,False,25,0,ai,HumanEval/148
1,1,1,True,6,0,human,HumanEval/149
0,0,0,False,30,0,ai,HumanEval/149
3,2,1,True,8,0,human,HumanEval/150
0,0,0,False,54,0,ai,HumanEval/150
1,0,0,True,1,0,human,HumanEval/151
0,0,0,False,33,0,ai,HumanEval/151
1,0,0,True,1,0,human,HumanEval/152
0,0,0,False,22,0,ai,HumanEval/152
1,1,1,True,9,0,human,HumanEval/153
0,0,0,False,25,1,ai,HumanEval/153
2,1,2,True,7,0,human,HumanEval/154
0,0,0,False,26,0,ai,HumanEval/154
1,1,1,True,8,0,human,HumanEval/155
0,0,0,False,43,0,ai,HumanEval/155
1,0,2,True,14,0,human,HumanEval/156
0,0,0,False,34,1,ai,HumanEval/156
1,0,0,True,1,0,human,HumanEval/157
0,0,0,False,14,0,ai,HumanEval/157
1,0,0,True,1,0,human,HumanEval/158
0,0,0,False,40,0,ai,HumanEval/158
2,1,0,True,4,0,human,HumanEval/159
0,0,0,False,23,0,ai,HumanEval/159
1,0,1,True,4,0,human,HumanEval/160
0,0,0,False,14,0,ai,HumanEval/160
2,2,2,True,14,0,human,HumanEval/161
0,0,0,False,33,0,ai,HumanEval/161
1,0,0,True,2,0,human,HumanEval/162
0,0,0,False,35,0,ai,HumanEval/162
1,0,0,True,3,0,human,HumanEval/163
0,0,0,False,31,5,ai,HumanEval/163
